Location,Well 
"1(1,A1)",A1
"2(1,A2)",A2
"3(1,A3)",A3
"4(1,A4)",A4
"5(1,A5)",A5
"6(1,A6)",A6
"7(1,A7)",A7
"8(1,A8)",A8
"9(1,A9)",A9
"10(1,A10)",A10
"11(1,A11)",A11
"12(1,A12)",A12
"13(1,B1)",B1
"14(1,B2)",B2
"15(1,B3)",B3
"16(1,B4)",B4
"17(1,B5)",B5
"18(1,B6)",B6
"19(1,B7)",B7
"20(1,B8)",B8
"21(1,B9)",B9
"22(1,B10)",B10
"23(1,B11)",B11
"24(1,B12)",B12
"25(1,C1)",C1
"26(1,C2)",C2
"27(1,C3)",C3
"28(1,C4)",C4
"29(1,C5)",C5
"30(1,C6)",C6
"31(1,C7)",C7
"32(1,C8)",C8
"33(1,C9)",C9
"34(1,C10)",C10
"35(1,C11)",C11
"36(1,C12)",C12
"37(1,D1)",D1
"38(1,D2)",D2
"39(1,D3)",D3
"40(1,D4)",D4
"41(1,D5)",D5
"42(1,D6)",D6
"43(1,D7)",D7
"44(1,D8)",D8
"45(1,D9)",D9
"46(1,D10)",D10
"47(1,D11)",D11
"48(1,D12)",D12
"49(1,E1)",E1
"50(1,E2)",E2
"51(1,E3)",E3
"52(1,E4)",E4
"53(1,E5)",E5
"54(1,E6)",E6
"55(1,E7)",E7
"56(1,E8)",E8
"57(1,E9)",E9
"58(1,E10)",E10
"59(1,E11)",E11
"60(1,E12)",E12
"61(1,F1)",F1
"62(1,F2)",F2
"63(1,F3)",F3
"64(1,F4)",F4
"65(1,F5)",F5
"66(1,F6)",F6
"67(1,F7)",F7
"68(1,F8)",F8
"69(1,F9)",F9
"70(1,F10)",F10
"71(1,F11)",F11
"72(1,F12)",F12
"73(1,G1)",G1
"74(1,G2)",G2
"75(1,G3)",G3
"76(1,G4)",G4
"77(1,G5)",G5
"78(1,G6)",G6
"79(1,G7)",G7
"80(1,G8)",G8
"81(1,G9)",G9
"82(1,G10)",G10
"83(1,G11)",G11
"84(1,G12)",G12
"85(1,H1)",H1
"86(1,H2)",H2
"87(1,H3)",H3
"88(1,H4)",H4
"89(1,H5)",H5
"90(1,H6)",H6
"91(1,H7)",H7
"92(1,H8)",H8
"93(1,H9)",H9
"94(1,H10)",H10
"95(1,H11)",H11
"96(1,H12)",H12